iter	Passed	Remaining
398	79994	220735
399	80238	220656
400	80422	220411
401	80611	220178
402	80800	219947
403	80990	219715
404	81177	219479
405	81400	219338
406	81612	219170
407	81804	218946
408	82058	218889
409	82414	219100
410	82619	218911
411	82840	218763
412	83045	218571
413	83230	218328
414	83418	218094
415	83603	217852
416	83786	217603
417	83968	217353
418	84159	217127
419	84358	216921
420	84549	216694
421	84748	216489
422	84950	216291
423	85168	216135
424	85400	216012
425	85594	215795
426	85796	215596
427	85985	215366
428	86173	215131
429	86350	214871
430	86536	214634
431	86717	214384
432	86915	214176
433	87100	213937
434	87281	213688
435	87455	213423
436	87636	213174
437	87835	212969
438	88016	212722
439	88191	212462
440	88373	212217
441	88551	211961
442	88731	211713
443	88908	211457
444	89076	211180
445	89261	210946
446	89473	210773
447	89660	210542
448	89835	210283
449	90071	210167
450	90677	210909
451	90937	210847
452	91210	210811
453	91421	210631
454	91666	210531
455	91865	210324
456	92053	210090
457	92242	209861
458	92431	209633
459	92627	209418
460	92826	209212
461	93022	208998
462	93225	208800
463	93416	208576
464	93596	208328
465	93788	208105
466	93984	207892
467	94254	207843
468	94468	207670
469	94650	207426
470	94840	207200
471	95031	206975
472	95246	206803
473	95526	206771
474	95768	206657
475	95951	206416
476	96162	206235
477	96362	206031
478	96577	205858
479	96769	205635
480	96955	205400
481	97149	205182
482	97357	204995
483	97550	204776
484	97727	204522
485	97908	204277
486	98091	204038
487	98286	203823
488	98468	203582
489	98650	203341
490	98867	203171
491	99053	202939
492	99253	202735
493	99445	202514
494	99682	202385
495	99880	202177
496	100065	201942
497	100257	201722
498	100441	201487
499	100626	201252
500	100812	201020
501	100993	200779
502	101210	200611
503	101394	200375
504	101582	200147
505	101762	199904
506	101952	199681
507	102151	199477
508	102356	199283
509	102556	199080
510	102742	198849
511	102922	198608
512	103106	198374
513	103291	198143
514	103473	197905
515	103677	197710
516	103917	197584
517	104107	197361
518	104307	197160
519	104510	196961
520	104705	196750
521	104892	196523
522	105071	196281
523	105262	196061
524	105441	195819
525	105625	195587
526	105812	195361
527	106003	195143
528	106197	194929
529	106406	194744
530	106670	194658
531	107078	194835
532	107317	194701
533	107520	194503
534	107717	194294
535	107895	194050
536	108075	193811
537	108257	193576
538	108469	193394
539	108654	193163
540	108844	192943
541	109085	192811
542	109311	192654
543	109521	192467
544	109721	192263
545	109931	192078
546	110134	191879
547	110330	191669
548	110517	191442
549	110920	191590
550	111163	191460
551	111343	191220
552	111545	191018
553	111756	190832
554	111939	190600
555	112131	190381
556	112313	190146
557	112499	189918
558	112686	189691
559	112877	189472
560	113133	189362
561	113331	189154
562	113521	188933
563	113743	188765
564	114003	188659
565	114204	188458
566	114398	188242
567	114595	188034
568	114781	187805
569	114971	187585
570	115180	187394
571	115379	187189
572	115564	186960
573	115765	186757
574	115963	186549
575	116155	186333
576	116654	186607
577	116921	186508
578	117137	186327
579	117407	186233
580	117656	186103
581	117861	185905
582	118051	185683
583	118254	185481
584	118457	185280
585	118658	185074
586	118842	184843
587	119029	184617
588	119225	184404
589	119443	184226
590	119663	184051
591	119875	183862
592	120095	183686
593	120294	183479
594	120537	183339
595	120780	183197
596	120980	182991
597	121173	182773
598	121367	182557
599	121578	182367
600	121790	182179
601	122009	182001
602	122220	181809
603	122434	181625
604	122867	181762
605	123125	181640
606	123323	181429
607	123522	181220
608	123710	180994
609	123901	180774
610	124077	180531
611	124267	180309
612	124489	180134
613	124676	179907
614	124859	179675
615	125041	179443
616	125258	179260
617	125451	179042
618	125635	178812
619	125817	178579
620	126010	178362
621	126210	178155
622	126400	177934
623	126654	177803
624	126843	177580
625	127019	177340
626	127215	177128
627	127412	176917
628	127605	176700
629	127794	176478
630	127984	176257
631	128169	176030
632	128362	175814
633	128546	175585
634	128766	175406
635	128962	175194
636	129145	174964
637	129349	174763
638	129557	174567
639	129744	174343
640	129931	174120
641	130134	173918
642	130335	173713
643	130523	173490
644	130724	173286
645	130939	173100
646	131125	172874
647	131317	172657
648	131498	172427
649	131681	172199
650	131878	171989
651	132060	171759
652	132248	171538
653	132429	171307
654	132607	171074
655	132795	170852
656	133018	170677
657	133274	170542
658	133462	170321
659	133641	170089
660	133829	169868
661	134029	169662
662	134219	169444
663	134411	169229
664	134591	168998
665	134775	168772
666	134948	168533
667	135128	168303
668	135323	168092
669	135517	167879
670	135732	167693
671	135924	167477
672	136102	167246
673	136287	167023
674	136480	166809
675	136674	166596
676	136868	166385
677	137072	166184
678	137269	165977
679	137451	165750
680	137638	165530
681	137819	165302
682	138002	165078
683	138195	164865
684	138397	164662
