iter	RMSE
0	0.1846021168
1	0.18176339
2	0.1790067813
3	0.1768005563
4	0.1748075464
5	0.172786776
6	0.1703417875
7	0.1682546382
8	0.1662696004
9	0.1644969752
10	0.1628605075
11	0.1610732764
12	0.159671242
13	0.1581910226
14	0.1567458264
15	0.1554033425
16	0.1540403616
17	0.1528498775
18	0.1518715472
19	0.1506766326
20	0.1495385159
21	0.1485267005
22	0.1473981746
23	0.1465193524
24	0.1454234942
25	0.1444908891
26	0.1437126912
27	0.1429608679
28	0.142055069
29	0.1413708718
30	0.1406477751
31	0.139785281
32	0.1389718508
33	0.1381422517
34	0.137420846
35	0.1367438051
36	0.1361691721
37	0.1355120968
38	0.1349739595
39	0.1344452203
40	0.1337577663
41	0.1331150773
42	0.132371856
43	0.1317748184
44	0.131172596
45	0.1306690264
46	0.1301658205
47	0.1297481321
48	0.1292920708
49	0.1288231392
50	0.1282052987
51	0.1277504771
52	0.127268555
53	0.1266689399
54	0.1260751354
55	0.1256710884
56	0.1251604299
57	0.1245961473
58	0.1241381951
59	0.1235511745
60	0.1232411845
61	0.1227263001
62	0.1223799148
63	0.1218238141
64	0.1214961002
65	0.1211863009
66	0.1208600782
67	0.1204836195
68	0.1201093448
69	0.1196045658
70	0.1191799458
71	0.1186645973
72	0.1184783187
73	0.1180593122
74	0.1175642185
75	0.1173680667
76	0.1171086515
77	0.1169081036
78	0.116562698
79	0.1162820822
80	0.1159087736
81	0.1156024599
82	0.1152458676
83	0.1149512953
84	0.1147581218
85	0.1146350561
86	0.1143982168
87	0.1140794792
88	0.1137520239
89	0.1134383467
90	0.1131388893
91	0.1128464397
92	0.1126712152
93	0.1122314418
94	0.1119604096
95	0.1117034439
96	0.1115642274
97	0.1112572505
98	0.1111051456
99	0.1107726083
100	0.1106783113
101	0.1104033602
102	0.1101161199
103	0.1097543657
104	0.1093960517
105	0.1091176612
106	0.1087142862
107	0.1085180935
108	0.1081679816
109	0.1077801738
110	0.1076154897
111	0.107478263
112	0.1072552281
113	0.1069421318
114	0.1067850004
115	0.1065281629
116	0.1062333064
117	0.105819625
118	0.1054970779
119	0.1051382081
120	0.1047989483
121	0.1044293456
122	0.1040439507
123	0.1037266162
124	0.1034858542
125	0.1031465376
126	0.1027206
127	0.1023487109
128	0.1021964059
129	0.1018744622
130	0.1015415755
131	0.1012546854
132	0.1010734092
133	0.1007418335
134	0.1004567226
135	0.1001057529
136	0.09985984718
137	0.09957031717
138	0.09914196893
139	0.09889497397
140	0.09856484917
141	0.09834082642
142	0.0980903162
143	0.09778577932
144	0.09754311293
145	0.09731460054
146	0.09721368719
147	0.09688101204
148	0.09659416279
149	0.09643240693
150	0.09613511674
151	0.09582411713
152	0.09560100185
153	0.09531676455
154	0.09509111588
155	0.09483237453
156	0.09462397727
157	0.09435105304
158	0.09403457475
159	0.09371747633
160	0.09345362247
161	0.09310497058
162	0.092879349
163	0.09252584821
164	0.0924362821
165	0.09217604271
166	0.09185329757
167	0.09166096212
168	0.09147798223
169	0.09132579354
170	0.09117097719
171	0.09097050191
172	0.09063438788
173	0.09033997294
174	0.08999576179
175	0.08987412974
176	0.08951877938
177	0.08937195619
178	0.08904165141
179	0.0889403063
180	0.08866822905
181	0.08826458668
182	0.08801415602
183	0.08770414455
184	0.08746111351
185	0.08704556057
186	0.0867534481
187	0.08646908674
188	0.0863603887
189	0.08613400956
190	0.08578439186
191	0.08554081695
192	0.08517128849
193	0.08489894413
194	0.08448847642
195	0.08408441454
196	0.08379862507
197	0.0835444394
198	0.08320414137
199	0.08289411684
200	0.0827275417
201	0.08241408263
202	0.0823130526
203	0.0821928935
204	0.08210364959
205	0.08177159858
206	0.08135096724
207	0.08112887115
208	0.080989136
209	0.08062276128
210	0.08052762353
211	0.08020094256
212	0.07984072117
213	0.0797630942
214	0.0796737757
215	0.07935971648
216	0.07916680943
217	0.07883665178
218	0.07855943513
219	0.07840165812
220	0.07831743064
221	0.07802569257
222	0.07794840353
223	0.07757280421
224	0.07723554202
225	0.07704024
226	0.0769458892
227	0.0766813551
228	0.07645123778
229	0.07617279935
230	0.07587512473
231	0.07554461513
232	0.0754648184
233	0.07539189185
234	0.07514233033
235	0.07479932853
236	0.07455568402
237	0.07428627164
238	0.07391729695
239	0.07362023052
240	0.07352309343
241	0.07319085772
242	0.07290385048
243	0.07270889664
244	0.07253222547
245	0.07227632671
246	0.07205809295
247	0.071771155
248	0.07142841297
249	0.07118260365
250	0.07082759782
251	0.0707582383
252	0.07049885074
253	0.07023821629
254	0.06995549716
255	0.06976941956
256	0.06945720416
257	0.06939183056
258	0.06922837831
259	0.06912441385
260	0.06890878567
261	0.06870211
262	0.06863523434
263	0.06828751596
264	0.06804526469
265	0.06781651969
266	0.06776091449
267	0.06749410653
268	0.06713809322
269	0.06689664988
270	0.06666707089
271	0.06641106596
272	0.06635072701
273	0.06615660148
274	0.06579993456
275	0.0655191919
276	0.06535090712
277	0.0651357158
278	0.06488194297
279	0.06466833582
280	0.06440965282
281	0.06434837992
282	0.06414122367
283	0.06391407561
284	0.06375091834
285	0.06352414071
286	0.06323230077
287	0.06295721837
288	0.06291332794
289	0.06267487281
290	0.06245791065
291	0.06220722977
292	0.06192773367
293	0.06165974954
294	0.06152106515
295	0.06137307002
296	0.06110918263
297	0.06092695649
298	0.06073853873
299	0.06052654649
300	0.06031777465
301	0.06010886941
302	0.05992228586
303	0.05970734297
304	0.05945898466
305	0.05918334507
306	0.05906089779
307	0.05882663543
308	0.05852513913
309	0.05843895789
310	0.0581829836
311	0.05801265865
312	0.05778935939
313	0.05753277526
314	0.05725174176
315	0.05711182699
316	0.05689836331
317	0.05682364735
318	0.05660335888
319	0.05636002298
320	0.05614689532
321	0.05595282103
322	0.05575086545
323	0.05562208466
324	0.05557357494
325	0.05539207528
326	0.05515430413
327	0.05497471222
328	0.05471344297
329	0.05458394656
330	0.05451556397
331	0.05429715197
332	0.05411144414
333	0.05393688278
334	0.05371422938
335	0.05356966898
336	0.05333338255
337	0.05321527744
338	0.05317813655
339	0.05300496886
340	0.0527415413
341	0.05257447692
342	0.0524211253
343	0.05226461681
344	0.05200423773
345	0.05182516201
346	0.05171329583
347	0.05151519187
348	0.05136971774
349	0.05132781342
350	0.05109744256
351	0.05082720047
352	0.05063166407
353	0.05056646322
354	0.05041787663
355	0.05027153088
356	0.05022937377
357	0.05013714114
358	0.0500179059
359	0.04988637042
360	0.04974369171
361	0.04957879283
362	0.04940485774
363	0.04928811422
364	0.0491489653
365	0.04907443155
366	0.04884841967
367	0.04876963591
368	0.04855183225
369	0.04837915586
370	0.04819886631
371	0.04800531311
372	0.04787039026
373	0.04777491564
374	0.04772962334
375	0.04747824721
376	0.04732791945
377	0.04711652062
378	0.04693788514
379	0.04676412177
380	0.04670237191
381	0.04654188545
382	0.04640853699
383	0.04623432058
384	0.04608317809
385	0.04604049127
386	0.04582933857
387	0.04573324893
388	0.04553161103
389	0.04536182582
390	0.04532622631
391	0.04522565571
392	0.04507625563
393	0.04495343064
394	0.04492065385
395	0.0447235753
396	0.04467540157
397	0.04449340683
398	0.04432733469
399	0.04415116819
400	0.04402638169
401	0.04385869997
402	0.04374467568
403	0.04362392585
404	0.04351238818
405	0.04332662421
406	0.04316576306
407	0.04303224368
408	0.0429004478
409	0.04268483893
410	0.04249485546
411	0.04235600995
412	0.04224013168
413	0.04221430067
414	0.04198985489
415	0.04188426621
416	0.04171756713
417	0.0415955624
418	0.04144283047
419	0.04140515896
420	0.04121828304
421	0.04105122493
422	0.04090500292
423	0.04079739025
424	0.04063178195
425	0.040475582
426	0.04034190008
427	0.04026693045
428	0.04019400533
429	0.04006914032
430	0.03994481748
431	0.03991597337
432	0.03980593313
433	0.0397846866
434	0.03964037198
435	0.03961893903
436	0.03951378148
437	0.03939314537
438	0.03936659921
439	0.03920227091
440	0.03907517356
441	0.03890012816
442	0.03876707999
443	0.03861220151
444	0.03857909169
445	0.03842467541
446	0.03824831304
447	0.03806283338
448	0.03795068704
449	0.03776106744
450	0.03762901073
451	0.03754709533
452	0.03734664773
453	0.03723459407
454	0.03716237258
455	0.03705312384
456	0.03692241159
457	0.03674812694
458	0.03672010216
459	0.03661424625
460	0.03656293765
461	0.03654214025
462	0.03638842775
463	0.03622944073
464	0.03614199517
465	0.03611578154
466	0.03597973822
467	0.03582178287
468	0.03570084306
469	0.035564441
470	0.03551112964
471	0.03543918736
472	0.03530824526
473	0.03514503826
474	0.03502247447
475	0.03500260525
476	0.03486981751
477	0.03484689815
478	0.03471298459
479	0.03457600107
480	0.03452777538
481	0.03437620548
482	0.03433641309
483	0.03423536968
484	0.03411250212
485	0.03401841592
486	0.03387807763
487	0.03374043372
488	0.03361293738
489	0.0335366476
490	0.03341327429
491	0.03327304806
492	0.03309988233
493	0.03305282909
494	0.03294698039
495	0.03287466671
496	0.03281457999
497	0.03269823705
498	0.0325876245
499	0.03248173341
500	0.03237690071
501	0.0323059662
502	0.03221961181
503	0.03210948059
504	0.03197698027
505	0.03187864142
506	0.03172396994
507	0.03160129045
508	0.03149579296
509	0.03139569318
510	0.03131970241
511	0.03124783291
512	0.03115447316
513	0.03108305709
514	0.03093925001
515	0.03091886664
516	0.03080408414
517	0.03075023606
518	0.03064746481
519	0.03053518423
520	0.03051644884
521	0.03045095282
522	0.03043311115
523	0.03032837386
524	0.03030746285
525	0.03017644083
526	0.03006723147
527	0.02994237701
528	0.029822908
529	0.02973651882
530	0.02964670649
531	0.02952212856
532	0.0294253137
533	0.02933851138
534	0.02923679857
535	0.02910542455
536	0.02897656755
537	0.02887367347
538	0.02880050904
539	0.02867635243
540	0.02855227459
541	0.02844231414
542	0.02841783652
543	0.02832576679
544	0.02821391884
545	0.0281947733
546	0.0281472994
547	0.02802713684
548	0.0279521543
549	0.027850998
550	0.02775239894
551	0.02773572672
552	0.02763719371
553	0.0275930137
554	0.02750933202
555	0.02740438716
556	0.02732633342
557	0.02720826353
558	0.02711230891
559	0.02709638225
560	0.0270380332
561	0.02696572128
562	0.02695064276
563	0.02686754532
564	0.02685251172
565	0.02672216058
566	0.02670705222
567	0.02661477134
568	0.02654157271
569	0.02643008041
570	0.02634169116
571	0.02629093881
572	0.02626952839
573	0.02620560882
574	0.02611820003
575	0.02599309765
576	0.02590108609
577	0.02580280879
578	0.02574228533
579	0.0256573903
580	0.02557011253
581	0.02551332818
582	0.02538793391
583	0.02528386267
584	0.02519335399
585	0.02512094867
586	0.02505654671
587	0.02503951402
588	0.02502062654
589	0.02492705994
590	0.02485328759
591	0.0247490133
592	0.02465975928
593	0.02464967457
594	0.02454958218
595	0.02445232719
596	0.02436253202
597	0.02427456822
598	0.02426220876
599	0.02417016303
600	0.02408250345
601	0.02403248954
602	0.02392731196
603	0.02387005791
604	0.02377463592
605	0.02367909152
