brightness_mean,brightness_std,brightness_min,brightness_max,brightness_skew,id
161.2547817804784,10.120299688736134,140.81067756558642,176.41972415123456,-0.6064271273916519,7602656035161050390
68.10439513406635,26.010559794474926,30.87836082175926,124.01394965277778,1.2283374698902396,7590718903144287510
204.68099419487848,9.795100003730795,177.32994550540124,212.57322627314815,-1.6210196980973723,7571821778746592534
133.06722770785106,0.6909181428792285,131.6777406442901,134.0424570794753,-0.4845071477731972,7569927329154190614
160.69367392457562,13.454531742753986,144.4517963927469,187.7455184220679,0.3644054884054385,7566270741134462230
125.83733660662615,3.5176442203862464,120.02695939429012,134.86927710262347,1.23411625756458,7536170254989315350
141.29400329589845,20.41328964147871,121.19561258951823,212.411861843533,2.6497062671381517,7520640970199698710
131.72670383029515,14.628128861263274,113.5589665316358,158.28429880401234,0.35163146119506894,7496799936558796054
138.31805621865357,13.467786811911806,115.58076292438271,160.8991333912037,-0.12362301077850757,7487960173529582870
130.44861236496914,8.285851836294054,109.92393132716049,140.738878279321,-0.8582309638384533,7478712216724802838
126.98650170597028,3.3272912134004287,121.39171296296297,130.69651475694445,-0.41914576709303697,7470850262840691990
131.70129602502894,9.996561776068981,116.6661222029321,159.34019241898147,0.9989466910288461,7424512450856357153
119.96270046657986,4.359929845426746,114.10059220679013,125.59526331018519,0.01782322989611705,7416286728513735968
130.10340630425347,12.629211855358417,112.10222113715278,155.06107855902778,1.0793216584781997,7374727208394411297
167.7045902355806,10.461657604935523,150.62547743055555,179.56276475694443,-0.7282164465755228,7361057454454508833
165.03003665123455,2.2053093302925597,160.5871021412037,168.00903501157407,-0.6443672724234009,7343975400122354977
130.59718337070797,6.614052442360518,118.52832706404321,137.39695216049384,-0.5822604094164353,7322847358646078752
178.82571666023662,3.9125750501132717,170.2282817322531,184.05173514660493,-1.01505850050428,7311689753676533024
192.0193943504051,8.304953003912173,176.50596064814815,203.17080439814814,-0.14282222529616645,7307595143559859488
138.66412534360532,10.79312169917516,124.18972270447532,164.5113671875,0.5915851765451622,7298756408994991393
87.01778496636285,27.745608482738547,50.82804036458333,130.8417328559028,0.09583378239663248,7272755309658098976
115.0310575508777,26.69656640879231,76.60224681712963,144.05889371141976,-0.41382772535862106,7226766521719213338
144.03340042679397,1.4182761314964012,141.93554783950617,147.28073398919753,1.0097840786273835,7224139299594194203
133.2342066032504,9.558090467444424,115.62431134259259,153.76341676311728,0.4357654335038671,7208566584535764250
123.9438013785019,8.181687524436654,112.32398196373457,140.6000361689815,0.5472767576025573,7205976379370851589
100.25835105613427,9.259668884428129,87.06062548225309,108.99165605709877,-0.49152351749225254,7177404002508803334
97.49544454692322,6.362336630628888,90.78353829089507,114.14586757330247,1.1370237527187852,7164792237543394566
176.0730911518615,16.07965192361286,160.75136236496914,203.83084394290123,1.0213385736242522,7162183685423385862
92.23131260247877,3.8284804079909134,84.88961130401235,96.98857880015431,-0.40022024424253144,7153997940774882565
130.9145746527778,1.6266063291021582,127.77107445987654,133.78976080246915,-0.12480630535487147,7143619564775968006
134.52213445216051,12.132908690177038,115.41086612654321,148.79502314814815,-0.19938647523914332,7138043316087606533
139.74400621202258,33.11661500981337,91.22336805555555,177.5195095486111,-0.18785862094721098,7114705253899029765
116.28838880750868,20.641997219050428,74.26407552083333,151.74894205729166,0.10649480719358201,7107270367303044358
157.44116666581897,28.69505707661747,71.9124755859375,192.21700032552084,-1.332232006168811,7101685930276293894
129.6327720811632,12.9285983387915,109.91681640625,155.18691948784723,0.39209164128922885,7096121724990655749
116.91433627658421,2.3448361227303303,113.68808485243055,121.24947374131945,0.3393024650666284,7079814734664436998
104.95443299093364,3.522040753446568,97.05305169753086,111.79358796296296,-0.3768346921336027,7071272731286834437
126.48871710883247,7.988345312396311,114.48828016493056,136.07824652777776,-0.10030369434076923,7067569943449046278
173.5419932047526,14.094670692210709,149.72817491319444,196.1054470486111,-0.3226740386863173,7063121025394855173
136.30153253343371,19.046523617184807,113.72874111599393,166.84520467122397,0.5041395805364131,7023313220278553862
125.91959444681805,23.046823737836824,90.42208014594183,154.12360127766928,0.04777804306506916,7019559155425955077
146.84968206617566,6.636217350623504,134.33987087673611,159.37914360894098,0.2505763768873412,6958797242429934854
95.67418416341147,17.87101280745096,72.85520935058594,122.75835333930121,0.4214265492456433,6940653001791130885
135.24163744184708,3.129441670317819,129.7681630452474,140.25604248046875,-0.1103384142508438,6927911225066130693
127.86489655671296,11.099123164383641,104.60816550925927,146.25898533950618,-0.5300447791520119,6896446483080482050
138.16531406732253,8.377699296685469,126.17038387345679,151.1300250771605,0.049682440313065186,6893888228848389377
144.72274353780864,17.584868622303084,118.28050154320988,174.62370949074074,0.2379889264308257,6891645296233794817
76.60598882039388,1.2392862985030062,74.7683597140842,79.39836290147569,0.6718880582015949,6883561429727726850
162.96831139081792,7.0574920731785555,153.03478587962962,174.48481674382717,-0.13304627492409338,6876362124260691202
116.73082260320217,3.209661234430153,110.31880015432098,122.45511188271605,-0.4718511788183498,6874890977631390978
120.8905630304784,4.574385417098372,113.8641300154321,126.11424189814815,-0.45592620010963036,6855731886438763781
